pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden650_batch64_dropout0.2_lr20.0
R__VERB_NOUN_CCONJ_VERB	18	1	sing	изменяют	wrong	generated	Основная задержка Ингушетия трех подготовлена на постановке достаточных почек судебной ценности и	0	False	138	8	12	Основная задержка Ингушетия трех подготовлена на постановке достаточных почек судебной ценности и настаивает белок сточных нравственных плеч , которые и заговорили ей инвестиционный автобус от бакалавров . <eos>	-14.3438
L__ADJ_ADJ_NOUN	54	2	plur	помощников	correct	generated	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских"	0	True	410	4	27	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских интеллектуалов , родственников в технической торговле функции . <eos>"	-8.513
L__ADJ_ADJ_NOUN	54	2	plur	помощника	wrong	generated	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских"	0	True	1279	4	27	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских интеллектуалов , родственников в технической торговле функции . <eos>"	-15.654
L__DET_ADJ_NOUN	17	1	plur	организациям	correct	generated	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным """	0	True	535	4	31	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным "" улицам . <eos>"	-9.56244
L__DET_ADJ_NOUN	17	1	plur	организации	wrong	generated	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным """	0	True	18326	4	31	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным "" улицам . <eos>"	-15.2453
R__VERB_NOUN_CCONJ_VERB	60	8	sing	спит	correct	generated	Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и	0	True	304	12	46	"Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и волнует к московскому минимуму трех зарплат трех костюмов , замерзает ОРТ "" НКО "" . <eos>"	-14.92
R__VERB_NOUN_CCONJ_VERB	60	8	sing	спят	wrong	generated	Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и	0	True	155	12	46	"Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и волнует к московскому минимуму трех зарплат трех костюмов , замерзает ОРТ "" НКО "" . <eos>"	-18.299
L__ADJ_NOUN_NOUN	3	4	sing	взятку	correct	generated	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки	0	True	146	4	19	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки слабость обвинил Роман Эдвард . <eos>	-15.9978
L__ADJ_NOUN_NOUN	3	4	sing	взятки	wrong	generated	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки	0	True	302	4	19	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки слабость обвинил Роман Эдвард . <eos>	-14.3001
L__ADJ_NOUN_ADJ_NOUN	5	0	plur	чемпионов	correct	original	Говорят , что <unk> первых в истории СССР олимпийских	0	True	2892	5	9	Говорят , что боб первых в истории СССР олимпийских чемпионов по бобслею Яниса Кипруса и Владимира Козлова в 1988 году перевозили под охраной сотрудников КГБ . <eos>	-1.9995
L__ADJ_NOUN_ADJ_NOUN	5	0	plur	чемпиона	wrong	original	Говорят , что <unk> первых в истории СССР олимпийских	0	True	1986	5	9	Говорят , что боб первых в истории СССР олимпийских чемпионов по бобслею Яниса Кипруса и Владимира Козлова в 1988 году перевозили под охраной сотрудников КГБ . <eos>	-8.93599
L__VERB_NOUN_NOUN	9	3	sing	аппарат	correct	generated	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении	0	True	1446	4	19	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении позор грузинской опеки выражает ему на крещении черной ситуации . <eos>	-13.9769
L__VERB_NOUN_NOUN	9	3	sing	аппараты	wrong	generated	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении	0	True	384	4	19	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении позор грузинской опеки выражает ему на крещении черной ситуации . <eos>	-15.9791
L__ADJ_PUNCT_ADJ_NOUN	29	6	plur	органы	correct	generated	А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые	0	True	3234	4	16	"А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые экраны выживания коры "" , - угрожает Сергеевич Стефан . <eos>"	-6.44272
L__ADJ_PUNCT_ADJ_NOUN	29	6	plur	орган	wrong	generated	А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые	0	True	2515	4	16	"А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые экраны выживания коры "" , - угрожает Сергеевич Стефан . <eos>"	-14.6435
L__ADJ_DET_NOUN	11	1	sing	коммуникации	correct	generated	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же	0	False	1125	4	14	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же таблицы . <eos>	-9.71793
L__ADJ_DET_NOUN	11	1	sing	коммуникаций	wrong	generated	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же	0	False	877	4	14	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же таблицы . <eos>	-15.4088
R__VERB_PROPN_CCONJ_VERB	1	6	sing	надевает	correct	generated	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и	0	True	209	4	15	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и звучит в документе . <eos>	-11.0967
R__VERB_PROPN_CCONJ_VERB	1	6	sing	надевают	wrong	generated	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и	0	True	111	4	15	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и звучит в документе . <eos>	-13.8602
L__ADJ_NOUN_NOUN	36	8	sing	организацию	correct	generated	Внимание технологии холодно организовать педагогическую с идеологической батареей	0	False	2335	4	8	Внимание технологии холодно организовать педагогическую с идеологической батареей журналистику по Волге . <eos>	-12.923
L__ADJ_NOUN_NOUN	36	8	sing	организации	wrong	generated	Внимание технологии холодно организовать педагогическую с идеологической батареей	0	False	18326	4	8	Внимание технологии холодно организовать педагогическую с идеологической батареей журналистику по Волге . <eos>	-8.37133
L__ADJ_PUNCT_ADJ_NOUN	46	9	plur	дивизий	correct	generated	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых """	0	True	1288	11	18	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых "" песен , Аристотель Ким переходит исторический свет второго крещения . <eos>"	-11.5767
L__ADJ_PUNCT_ADJ_NOUN	46	9	plur	дивизии	wrong	generated	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых """	0	True	5244	11	18	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых "" песен , Аристотель Ким переходит исторический свет второго крещения . <eos>"	-13.166
L__ADJ_ADJ_NOUN	3	2	sing	выставка	correct	generated	Российскую неудачу проникают и верхняя административно - длительная	0	True	1862	4	8	Российскую неудачу проникают и верхняя административно - длительная кость , и ближайшее разнообразие , которым собраны информационные грузовики и журналы Словении . <eos>	-10.2888
L__ADJ_ADJ_NOUN	3	2	sing	выставки	wrong	generated	Российскую неудачу проникают и верхняя административно - длительная	0	True	3175	4	8	Российскую неудачу проникают и верхняя административно - длительная кость , и ближайшее разнообразие , которым собраны информационные грузовики и журналы Словении . <eos>	-14.2937
L__DET_ADJ_NOUN	18	3	plur	стен	correct	generated	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских	0	True	2168	4	18	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских сборных . <eos>	-11.4353
L__DET_ADJ_NOUN	18	3	plur	стены	wrong	generated	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских	0	True	3619	4	18	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских сборных . <eos>	-17.502
L__ADJ_NOUN_NOUN	10	5	plur	заимствований	correct	generated	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии )	1	True	194	6	16	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии ) преимуществ , но лежит от воздействия своих замков . <eos>	-14.1368
L__ADJ_NOUN_NOUN	10	5	plur	заимствования	wrong	generated	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии )	1	True	250	6	16	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии ) преимуществ , но лежит от воздействия своих замков . <eos>	-16.4658
L__ADJ_ADJ_NOUN	24	6	plur	ставок	correct	generated	""" На медицинский бой мы слегка считаем на доходах трудных индустриальных и интерактивных"	0	True	227	4	13	""" На медицинский бой мы слегка считаем на доходах трудных индустриальных и интерактивных инициатив , которые , как и плотно , умирают в большинстве индийского периода , но с формированием народных посылок Турции "" . <eos>"	-11.354
L__ADJ_ADJ_NOUN	24	6	plur	ставки	wrong	generated	""" На медицинский бой мы слегка считаем на доходах трудных индустриальных и интерактивных"	0	True	611	4	13	""" На медицинский бой мы слегка считаем на доходах трудных индустриальных и интерактивных инициатив , которые , как и плотно , умирают в большинстве индийского периода , но с формированием народных посылок Турции "" . <eos>"	-18.5254
L__VERB_NOUN_NOUN	13	5	sing	ноге	correct	generated	"Южная речь заслуживает положительный бунт отделений на инструкции семи низших союзов и придает ответные направления , которые ровно исчезнуть "" , - носит глубокий продюсер Иоганн Ирвинг в ненадолго построенной на федеральном отрыве"	0	True	220	4	33	"Южная речь заслуживает положительный бунт отделений на инструкции семи низших союзов и придает ответные направления , которые ровно исчезнуть "" , - носит глубокий продюсер Иоганн Ирвинг в ненадолго построенной на федеральном отрыве связи "" Ford в высшей поверхности "" . <eos>"	-12.3008
L__VERB_NOUN_NOUN	13	5	sing	ногах	wrong	generated	"Южная речь заслуживает положительный бунт отделений на инструкции семи низших союзов и придает ответные направления , которые ровно исчезнуть "" , - носит глубокий продюсер Иоганн Ирвинг в ненадолго построенной на федеральном отрыве"	0	True	491	4	33	"Южная речь заслуживает положительный бунт отделений на инструкции семи низших союзов и придает ответные направления , которые ровно исчезнуть "" , - носит глубокий продюсер Иоганн Ирвинг в ненадолго построенной на федеральном отрыве связи "" Ford в высшей поверхности "" . <eos>"	-13.3977
R__VERB_NOUN_CCONJ_VERB	35	9	sing	защищает	correct	generated	Историческая норма , в которой на оба материала котла утверждается два профиль аэродрома , переходит быть практикой , а	0	True	797	5	19	Историческая норма , в которой на оба материала котла утверждается два профиль аэродрома , переходит быть практикой , а владеет быть и эпохой последовательных самолета и мм ( пр : не судить в теоретических чувствах ! ) . <eos>	-12.4377
R__VERB_NOUN_CCONJ_VERB	35	9	sing	защищают	wrong	generated	Историческая норма , в которой на оба материала котла утверждается два профиль аэродрома , переходит быть практикой , а	0	True	242	5	19	Историческая норма , в которой на оба материала котла утверждается два профиль аэродрома , переходит быть практикой , а владеет быть и эпохой последовательных самолета и мм ( пр : не судить в теоретических чувствах ! ) . <eos>	-15.3114
L__DET_ADJ_ADJ_NOUN	8	3	sing	провинции	correct	generated	В Испании подписанный бык может электронные значения двух с отличным революций поклонников , они все оценивают на ту выставку , которая допущена в той или геометрической экспериментальной	0	True	4290	4	27	В Испании подписанный бык может электронные значения двух с отличным революций поклонников , они все оценивают на ту выставку , которая допущена в той или геометрической экспериментальной лаборатории , и площадь влияет всю компанию . <eos>	-10.1279
L__DET_ADJ_ADJ_NOUN	8	3	sing	провинциях	wrong	generated	В Испании подписанный бык может электронные значения двух с отличным революций поклонников , они все оценивают на ту выставку , которая допущена в той или геометрической экспериментальной	0	True	462	4	27	В Испании подписанный бык может электронные значения двух с отличным революций поклонников , они все оценивают на ту выставку , которая допущена в той или геометрической экспериментальной лаборатории , и площадь влияет всю компанию . <eos>	-18.3998
L__VERB_NOUN_ADJ_NOUN	1	6	sing	вулкана	correct	generated	"Гости оценивают , что "" руководство надписей "" , задним кратко отдать Государственную сессию , возрастает задним страшным чудом из-за запланированного в проверке социального"	0	True	630	4	24	"Гости оценивают , что "" руководство надписей "" , задним кратко отдать Государственную сессию , возрастает задним страшным чудом из-за запланированного в проверке социального рынка или кандидатур шаров . <eos>"	-13.1916
L__VERB_NOUN_ADJ_NOUN	1	6	sing	вулканов	wrong	generated	"Гости оценивают , что "" руководство надписей "" , задним кратко отдать Государственную сессию , возрастает задним страшным чудом из-за запланированного в проверке социального"	0	True	207	4	24	"Гости оценивают , что "" руководство надписей "" , задним кратко отдать Государственную сессию , возрастает задним страшным чудом из-за запланированного в проверке социального рынка или кандидатур шаров . <eos>"	-19.2065
R__VERB_NOUN_CCONJ_VERB	32	8	sing	переносит	correct	generated	Избранный рекордсмен вращается в научный экипаж Палаты , и	0	True	335	7	9	Избранный рекордсмен вращается в научный экипаж Палаты , и срабатывает класс для колес , которые для коммунистической тьмы читают заручиться низкими рисками . <eos>	-9.34231
R__VERB_NOUN_CCONJ_VERB	32	8	sing	переносят	wrong	generated	Избранный рекордсмен вращается в научный экипаж Палаты , и	0	True	181	7	9	Избранный рекордсмен вращается в научный экипаж Палаты , и срабатывает класс для колес , которые для коммунистической тьмы читают заручиться низкими рисками . <eos>	-14.469
R__NOUN_PUNCT_CCONJ_PUNCT_NOUN	2	4	sing	ситуация	correct	generated	"Последние выбирают , что Кубок - это "" минимальное пренебрежение "" или """	0	True	2698	4	13	"Последние выбирают , что Кубок - это "" минимальное пренебрежение "" или "" элита в Иркутской Самаре "" . <eos>"	-11.4183
R__NOUN_PUNCT_CCONJ_PUNCT_NOUN	2	4	sing	ситуации	wrong	generated	"Последние выбирают , что Кубок - это "" минимальное пренебрежение "" или """	0	True	5019	4	13	"Последние выбирают , что Кубок - это "" минимальное пренебрежение "" или "" элита в Иркутской Самаре "" . <eos>"	-15.1087
L__ADJ_PUNCT_VERB_NOUN	0	7	sing	проверку	correct	generated	Взрослые регулярно прекращают гарантировать в Вселенной подробную , идеальным Гитлером установленную	1	True	512	5	11	Взрослые регулярно прекращают гарантировать в Вселенной подробную , идеальным Гитлером установленную скульптуру , лимит единственно критического княжества , продолжая за естественными ее обладателями заметные заказы . <eos>	-6.69048
L__ADJ_PUNCT_VERB_NOUN	0	7	sing	проверки	wrong	generated	Взрослые регулярно прекращают гарантировать в Вселенной подробную , идеальным Гитлером установленную	1	True	1546	5	11	Взрослые регулярно прекращают гарантировать в Вселенной подробную , идеальным Гитлером установленную скульптуру , лимит единственно критического княжества , продолжая за естественными ее обладателями заметные заказы . <eos>	-13.7463
L__ADJ_ADJ_NOUN	44	6	sing	квартира	correct	generated	Просто мы действительно красная и впоследствии серая	0	False	425	4	7	Просто мы действительно красная и впоследствии серая пластинка , чтобы реализовывать новый чемпионат покоя . <eos>	-11.7335
L__ADJ_ADJ_NOUN	44	6	sing	квартиры	wrong	generated	Просто мы действительно красная и впоследствии серая	0	False	1343	4	7	Просто мы действительно красная и впоследствии серая пластинка , чтобы реализовывать новый чемпионат покоя . <eos>	-15.948
L__ADJ_PUNCT_ADJ_NOUN	20	2	plur	работников	correct	generated	Скоро определился иной кинематограф интересных , хотя и бережно верных	1	True	3854	6	10	Скоро определился иной кинематограф интересных , хотя и бережно верных родителей . <eos>	-7.5763
L__ADJ_PUNCT_ADJ_NOUN	20	2	plur	работника	wrong	generated	Скоро определился иной кинематограф интересных , хотя и бережно верных	1	True	695	6	10	Скоро определился иной кинематограф интересных , хотя и бережно верных родителей . <eos>	-13.9383
L__ADJ_NOUN_NOUN	20	5	plur	тренерами	correct	generated	Долой казаки розничных стандартов проникают в остальном туре с одними ( по периоду )	0	True	154	5	14	Долой казаки розничных стандартов проникают в остальном туре с одними ( по периоду ) инженерами заезда ; преемник и подтверждается епископом бизнеса . <eos>	-15.9308
L__ADJ_NOUN_NOUN	20	5	plur	тренером	wrong	generated	Долой казаки розничных стандартов проникают в остальном туре с одними ( по периоду )	0	True	4051	5	14	Долой казаки розничных стандартов проникают в остальном туре с одними ( по периоду ) инженерами заезда ; преемник и подтверждается епископом бизнеса . <eos>	-14.2139
L__ADJ_ADJ_NOUN	4	1	plur	опросов	correct	generated	Никто не переходил электронных ( и серьезных к тому же )	0	True	299	8	11	Никто не переходил электронных ( и серьезных к тому же ) механизмов влечения спортивных карт , отлично воздушная империя отвечала не ловить человеческому попавшемуся существованию , а вылечить хотя бы от научного . <eos>	-9.2279
L__ADJ_ADJ_NOUN	4	1	plur	опроса	wrong	generated	Никто не переходил электронных ( и серьезных к тому же )	0	True	552	8	11	Никто не переходил электронных ( и серьезных к тому же ) механизмов влечения спортивных карт , отлично воздушная империя отвечала не ловить человеческому попавшемуся существованию , а вылечить хотя бы от научного . <eos>	-13.5392
L__ADJ_PUNCT_NOUN_NOUN	1	6	sing	сезона	correct	generated	"Когда споры легковых рычагов в Чехии не сняли Катар , по "" небольшим "" текстам был втрое же отмечен граф на патент в Европу эффективных фронтов - малого , по станции ,"	0	True	15557	5	32	"Когда споры легковых рычагов в Чехии не сняли Катар , по "" небольшим "" текстам был втрое же отмечен граф на патент в Европу эффективных фронтов - малого , по станции , млрд ужасов для парадигмы гарантии . <eos>"	-15.5472
L__ADJ_PUNCT_NOUN_NOUN	1	6	sing	сезонов	wrong	generated	"Когда споры легковых рычагов в Чехии не сняли Катар , по "" небольшим "" текстам был втрое же отмечен граф на патент в Европу эффективных фронтов - малого , по станции ,"	0	True	2430	5	32	"Когда споры легковых рычагов в Чехии не сняли Катар , по "" небольшим "" текстам был втрое же отмечен граф на патент в Европу эффективных фронтов - малого , по станции , млрд ужасов для парадигмы гарантии . <eos>"	-19.7503
L__ADJ_NOUN_NOUN	13	1	plur	каналы	correct	generated	Впереди , неожиданно ХАМАС разговаривал налицо религиозную общину : за взгляд сочувствия теории он называет известные по обвинению с сбором	0	True	564	5	20	Впереди , неожиданно ХАМАС разговаривал налицо религиозную общину : за взгляд сочувствия теории он называет известные по обвинению с сбором призраки в сад . <eos>	-17.0244
L__ADJ_NOUN_NOUN	13	1	plur	канал	wrong	generated	Впереди , неожиданно ХАМАС разговаривал налицо религиозную общину : за взгляд сочувствия теории он называет известные по обвинению с сбором	0	True	2551	5	20	Впереди , неожиданно ХАМАС разговаривал налицо религиозную общину : за взгляд сочувствия теории он называет известные по обвинению с сбором призраки в сад . <eos>	-16.0722
L__DET_VERB_NOUN	1	3	sing	деталь	correct	generated	Это была середина , но такая холодная , что и ее заявило на всю сложившуюся Русскому ВВП	0	True	241	4	17	Это была середина , но такая холодная , что и ее заявило на всю сложившуюся Русскому ВВП крышу . <eos>	-13.5219
L__DET_VERB_NOUN	1	3	sing	детали	wrong	generated	Это была середина , но такая холодная , что и ее заявило на всю сложившуюся Русскому ВВП	0	True	1608	4	17	Это была середина , но такая холодная , что и ее заявило на всю сложившуюся Русскому ВВП крышу . <eos>	-13.1345
L__VERB_NOUN_NOUN	5	5	sing	картинку	correct	generated	Спасибо предполагается находящимся под составом книги кандидата или необходимым , если при своем методе фаза академика защищала бы погибнуть находящуюся на этом попадании	0	True	109	4	23	Спасибо предполагается находящимся под составом книги кандидата или необходимым , если при своем методе фаза академика защищала бы погибнуть находящуюся на этом попадании организацию ( наверху от того , сопровождает ли такая шутка на этом праве ) . <eos>	-12.8919
