pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	srnn_hidden650_batch128_dropout0.0_lr1.0	srnn_hidden650_batch128_dropout0.0_lr0.5	srnn_hidden650_batch128_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr1.0	srnn_hidden650_batch128_dropout0.1_lr0.5	srnn_hidden650_batch128_dropout0.2_lr10.0	srnn_hidden650_batch128_dropout0.1_lr10.0	srnn_hidden650_batch128_dropout0.2_lr5.0	srnn_hidden650_batch64_dropout0.0_lr1.0	srnn_hidden650_batch64_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.0_lr0.5	srnn_hidden650_batch64_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.2_lr0.5	srnn_hidden650_batch128_dropout0.2_lr1.0	srnn_hidden650_batch64_dropout0.1_lr0.5	srnn_hidden650_batch64_dropout0.1_lr1.0	srnn_hidden650_batch64_dropout0.1_lr10.0	srnn_hidden650_batch64_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.2_lr0.5	srnn_hidden650_batch64_dropout0.2_lr10.0	srnn_hidden650_batch64_dropout0.2_lr5.0	srnn_hidden650_batch64_dropout0.2_lr1.0
R__VERB_NOUN_CCONJ_VERB	18	1	sing	изменяет	correct	generated	Основная задержка Ингушетия трех подготовлена на постановке достаточных почек судебной ценности и	0	False	366	8	12	Основная задержка Ингушетия трех подготовлена на постановке достаточных почек судебной ценности и настаивает белок сточных нравственных плеч , которые и заговорили ей инвестиционный автобус от бакалавров . <eos>	-10.1641	-13.6659	-11.4874	-11.6034	-12.9433	-11.0235	-12.1475	-10.9542	-11.0375	-12.3284	-11.714	-11.091	-12.1076	-11.633	-10.9617	-11.8725	-12.105	-11.8268	-10.5984	-11.1698	-10.0442	-11.2084	-11.7	-10.5326
R__VERB_NOUN_CCONJ_VERB	18	1	sing	изменяют	wrong	generated	Основная задержка Ингушетия трех подготовлена на постановке достаточных почек судебной ценности и	0	False	138	8	12	Основная задержка Ингушетия трех подготовлена на постановке достаточных почек судебной ценности и настаивает белок сточных нравственных плеч , которые и заговорили ей инвестиционный автобус от бакалавров . <eos>	-13.7021	-13.605	-13.0586	-12.1276	-14.0148	-13.0223	-12.6071	-12.772	-11.808	-14.8049	-11.3376	-13.6662	-12.6088	-11.6779	-12.4608	-13.6511	-13.1412	-12.6868	-13.0427	-12.9759	-13.5184	-12.1525	-11.5593	-12.8918
L__ADJ_ADJ_NOUN	54	2	plur	помощников	correct	generated	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских"	0	True	410	4	27	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских интеллектуалов , родственников в технической торговле функции . <eos>"	-12.3587	-11.1113	-13.532	-11.5488	-13.3689	-14.6561	-9.78381	-14.4895	-12.6719	-12.9866	-10.8372	-12.1093	-11.9838	-13.947	-13.2378	-12.7223	-13.2712	-12.411	-10.6616	-11.0986	-13.1215	-10.7816	-10.4575	-14.2651
L__ADJ_ADJ_NOUN	54	2	plur	помощника	wrong	generated	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских"	0	True	1279	4	27	"Огромный спирт установили комбинации , неуклонно таможенные , действия капиталистических соединений под "" зерна "" и "" богатства "" без президентской сегодняшней консолидации постоянных инвестиционных и авторских интеллектуалов , родственников в технической торговле функции . <eos>"	-17.8025	-14.6015	-17.8628	-10.4502	-18.8945	-19.22	-10.9622	-18.4155	-17.5106	-17.4853	-17.8091	-16.6113	-16.8894	-19.9877	-17.0976	-17.5831	-18.1145	-16.496	-17.5844	-15.7163	-16.7925	-16.1206	-16.1215	-17.7199
L__DET_ADJ_NOUN	17	1	plur	организациям	correct	generated	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным """	0	True	535	4	31	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным "" улицам . <eos>"	-9.43742	-12.1819	-12.7462	-13.0649	-12.7801	-14.496	-11.7051	-13.7962	-13.8451	-10.8237	-11.3064	-14.6256	-13.1241	-14.3233	-14.5288	-14.1492	-15.2524	-13.486	-14.2452	-12.081	-14.9499	-15.7617	-14.6221	-13.3914
L__DET_ADJ_NOUN	17	1	plur	организации	wrong	generated	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным """	0	True	18326	4	31	""" Устройство надписей "" , останавливаясь на заметные пояса , означает , что Грант германский отличает воспроизвести "" Рим "" , но не следует этого облегчить по неким "" школьным "" улицам . <eos>"	-9.86525	-10.4933	-9.32731	-10.3861	-12.3991	-13.2703	-11.2377	-13.3771	-14.1034	-11.5169	-11.0348	-11.8464	-12.3286	-11.4317	-14.2384	-13.5038	-14.6717	-12.7581	-14.6034	-13.7276	-13.4908	-14.986	-14.2538	-13.3068
R__VERB_NOUN_CCONJ_VERB	60	8	sing	спит	correct	generated	Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и	0	True	304	12	46	"Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и волнует к московскому минимуму трех зарплат трех костюмов , замерзает ОРТ "" НКО "" . <eos>"	-18.2295	-15.668	-14.9608	-11.7436	-16.3664	-15.4952	-14.6454	-16.0735	-15.6234	-16.0156	-16.5201	-16.2137	-16.3837	-14.3775	-13.4466	-14.4564	-15.655	-14.6839	-15.3737	-13.5916	-14.731	-14.1764	-15.27	-15.0672
R__VERB_NOUN_CCONJ_VERB	60	8	sing	спят	wrong	generated	Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и	0	True	155	12	46	"Развитие бытового полного эффекта неверно поэтому выдать реорганизацию на австрийских садах отклонения в формации с тем , что распространенный кодекс мастерства университетского предмета достижениями - белыми кругами , не существующими в Австралию , не опубликовал проводимой этой религией матрицы в трех бренда планов в корпус и волнует к московскому минимуму трех зарплат трех костюмов , замерзает ОРТ "" НКО "" . <eos>"	-18.8267	-15.6611	-16.1044	-11.929	-18.0778	-16.2307	-14.0315	-17.9288	-18.0676	-18.1743	-16.4469	-18.5914	-16.8517	-16.3874	-14.8256	-18.5726	-15.4017	-17.4375	-18.5347	-13.3682	-17.6896	-15.0947	-14.6953	-16.8075
L__ADJ_NOUN_NOUN	3	4	sing	взятку	correct	generated	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки	0	True	146	4	19	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки слабость обвинил Роман Эдвард . <eos>	-11.8768	-13.2686	-12.12	-12.5874	-10.4554	-11.9592	-13.3421	-11.959	-13.7986	-12.0353	-12.7791	-13.6236	-13.1787	-14.4118	-13.2905	-12.2239	-11.016	-9.07877	-12.357	-15.5424	-13.8067	-14.5047	-14.0826	-11.3503
L__ADJ_NOUN_NOUN	3	4	sing	взятки	wrong	generated	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки	0	True	302	4	19	Человека Эрика спит с Ельциным Лениным оба недовольство : и того , и известного на вечернюю для экстремистской транспортировки слабость обвинил Роман Эдвард . <eos>	-9.09065	-11.5906	-7.01366	-12.2244	-9.17174	-10.8403	-13.1486	-10.3094	-11.3855	-9.25201	-10.4951	-11.8993	-9.90427	-9.23325	-10.372	-10.94	-9.92548	-7.86807	-9.17001	-13.7252	-11.5354	-11.3911	-10.2748	-9.77227
L__ADJ_NOUN_ADJ_NOUN	5	0	plur	чемпионов	correct	original	Говорят , что <unk> первых в истории СССР олимпийских	0	True	2892	5	9	Говорят , что боб первых в истории СССР олимпийских чемпионов по бобслею Яниса Кипруса и Владимира Козлова в 1988 году перевозили под охраной сотрудников КГБ . <eos>	-1.5703	-3.81986	-3.04047	-9.56937	-2.14536	-1.91352	-7.83699	-3.40938	-3.64913	-1.15766	-1.39571	-3.11469	-1.58419	-1.92105	-1.79017	-2.1815	-1.79311	-1.61897	-1.26501	-6.36832	-1.45191	-3.34795	-4.36094	-2.12187
L__ADJ_NOUN_ADJ_NOUN	5	0	plur	чемпиона	wrong	original	Говорят , что <unk> первых в истории СССР олимпийских	0	True	1986	5	9	Говорят , что боб первых в истории СССР олимпийских чемпионов по бобслею Яниса Кипруса и Владимира Козлова в 1988 году перевозили под охраной сотрудников КГБ . <eos>	-8.52674	-9.45344	-8.33231	-10.1299	-8.08376	-8.12517	-9.43419	-10.1402	-9.47418	-10.0809	-6.67926	-10.1168	-9.08361	-11.3638	-8.22065	-7.03485	-7.70926	-7.70431	-7.30332	-10.9103	-6.68736	-9.92484	-8.51255	-8.36732
L__VERB_NOUN_NOUN	9	3	sing	аппарат	correct	generated	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении	0	True	1446	4	19	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении позор грузинской опеки выражает ему на крещении черной ситуации . <eos>	-13.4876	-12.0918	-13.833	-10.8855	-13.7584	-14.4684	-11.1614	-12.2246	-10.0031	-13.4044	-13.7356	-14.8761	-12.437	-13.0117	-12.9134	-15.3505	-10.2812	-11.3807	-16.4665	-12.644	-14.6048	-13.296	-12.9022	-13.142
L__VERB_NOUN_NOUN	9	3	sing	аппараты	wrong	generated	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении	0	True	384	4	19	Левый генерал такой колонии считал охватить от партийного взятия первый голод в том , что являющийся в его пересечении позор грузинской опеки выражает ему на крещении черной ситуации . <eos>	-15.2545	-14.0405	-19.7136	-12.073	-15.1488	-15.0875	-12.725	-17.3477	-15.8125	-16.9928	-15.7744	-19.9714	-14.9063	-17.9517	-15.7581	-17.3371	-14.248	-15.0419	-19.5393	-15.0042	-17.4084	-14.3339	-15.2196	-16.45
L__ADJ_PUNCT_ADJ_NOUN	29	6	plur	органы	correct	generated	А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые	0	True	3234	4	16	"А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые экраны выживания коры "" , - угрожает Сергеевич Стефан . <eos>"	-5.46421	-6.03268	-6.0807	-9.29429	-7.92763	-6.4878	-9.51954	-6.46384	-6.98991	-4.99036	-6.89576	-6.34343	-5.5974	-7.24366	-7.47048	-6.97937	-6.14643	-6.94051	-9.05482	-9.6914	-6.37253	-6.43846	-9.34374	-8.34604
L__ADJ_PUNCT_ADJ_NOUN	29	6	plur	орган	wrong	generated	А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые	0	True	2515	4	16	"А это совершает , что чуть с настоящими сторонами недопустимо зависеть и исторические , раньше кадровые экраны выживания коры "" , - угрожает Сергеевич Стефан . <eos>"	-13.3647	-13.8896	-13.0437	-9.74115	-16.6223	-15.2548	-11.6553	-15.9075	-12.1904	-12.8715	-13.8496	-13.9295	-12.8292	-10.1515	-13.9354	-14.3806	-15.3201	-15.5695	-14.2079	-11.0554	-13.5816	-12.5383	-14.5709	-14.7163
L__ADJ_DET_NOUN	11	1	sing	коммуникации	correct	generated	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же	0	False	1125	4	14	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же таблицы . <eos>	-10.6842	-9.46543	-11.3984	-10.6253	-14.1894	-12.2338	-9.9416	-13.1419	-11.1251	-9.64794	-9.14976	-11.6738	-9.3659	-11.2148	-11.6068	-11.2564	-12.7666	-11.9538	-11.2979	-9.09939	-10.0162	-8.20944	-12.3062	-10.4168
L__ADJ_DET_NOUN	11	1	sing	коммуникаций	wrong	generated	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же	0	False	877	4	14	Это влечет к молодежи и смене внешней задолженности между исключениями спасательной и той же таблицы . <eos>	-15.0386	-14.2881	-14.246	-10.8956	-16.2478	-14.0517	-12.0556	-15.9854	-15.435	-14.394	-13.1955	-13.5648	-15.7289	-13.7235	-14.8992	-14.8573	-14.0491	-13.2702	-14.7985	-12.3997	-14.8031	-13.0299	-14.7721	-14.9951
R__VERB_PROPN_CCONJ_VERB	1	6	sing	надевает	correct	generated	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и	0	True	209	4	15	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и звучит в документе . <eos>	-13.0374	-11.2493	-12.131	-12.0005	-12.0346	-10.6003	-11.4513	-10.9153	-10.2658	-10.8252	-11.0437	-9.92794	-12.1552	-10.6791	-10.9545	-11.5228	-11.029	-11.2855	-10.6167	-10.2643	-10.8489	-10.2241	-11.8155	-11.9599
R__VERB_PROPN_CCONJ_VERB	1	6	sing	надевают	wrong	generated	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и	0	True	111	4	15	От водных игрушек меня поставило совершенствование о том , что Галина делается в Мюнхене и звучит в документе . <eos>	-12.9569	-11.886	-14.1596	-12.5744	-13.7947	-13.4043	-12.1148	-12.8575	-11.9832	-13.0047	-12.5561	-12.3458	-12.1475	-13.3937	-13.3034	-13.1403	-14.5575	-14.9522	-14.4115	-13.4082	-13.2401	-12.6163	-12.7596	-14.236
L__ADJ_NOUN_NOUN	36	8	sing	организацию	correct	generated	Внимание технологии холодно организовать педагогическую с идеологической батареей	0	False	2335	4	8	Внимание технологии холодно организовать педагогическую с идеологической батареей журналистику по Волге . <eos>	-9.11698	-11.413	-9.52769	-11.8774	-13.4221	-12.0935	-15.1545	-13.0185	-13.6387	-6.16543	-11.7913	-13.0556	-9.48487	-13.0843	-11.0014	-11.179	-10.3303	-13.1178	-9.35696	-12.1582	-12.4829	-11.9611	-15.2616	-14.093
L__ADJ_NOUN_NOUN	36	8	sing	организации	wrong	generated	Внимание технологии холодно организовать педагогическую с идеологической батареей	0	False	18326	4	8	Внимание технологии холодно организовать педагогическую с идеологической батареей журналистику по Волге . <eos>	-11.2852	-9.28232	-8.77076	-9.93315	-10.527	-9.2969	-9.07406	-9.78481	-10.5109	-13.0258	-10.6685	-9.5797	-9.38615	-10.8135	-9.28731	-8.46212	-8.5854	-10.9338	-9.34454	-10.9656	-9.70789	-10.6968	-13.3602	-9.4434
L__ADJ_PUNCT_ADJ_NOUN	46	9	plur	дивизий	correct	generated	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых """	0	True	1288	11	18	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых "" песен , Аристотель Ким переходит исторический свет второго крещения . <eos>"	-7.19458	-8.87396	-9.75058	-11.8062	-12.3508	-11.4147	-12.1881	-7.28151	-8.66783	-10.4328	-11.1314	-10.4837	-8.91252	-10.9665	-10.4195	-11.4354	-12.3975	-10.1233	-12.2009	-11.5468	-12.134	-10.7054	-12.6996	-10.7712
L__ADJ_PUNCT_ADJ_NOUN	46	9	plur	дивизии	wrong	generated	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых """	0	True	5244	11	18	"Зная в фронтах выступлений по ходатайству древних трагических , в том назначении и не "" одновременно знаменитых "" песен , Аристотель Ким переходит исторический свет второго крещения . <eos>"	-7.92041	-9.15496	-9.34951	-10.4904	-8.955	-9.86997	-11.9629	-8.27927	-10.0586	-11.3799	-11.1742	-9.19382	-9.29492	-8.62514	-9.07074	-8.61699	-9.35181	-8.86836	-10.0447	-9.24838	-9.47128	-11.3225	-11.5444	-7.56467
L__ADJ_ADJ_NOUN	3	2	sing	выставка	correct	generated	Российскую неудачу проникают и верхняя административно - длительная	0	True	1862	4	8	Российскую неудачу проникают и верхняя административно - длительная кость , и ближайшее разнообразие , которым собраны информационные грузовики и журналы Словении . <eos>	-10.7867	-10.0314	-8.32256	-10.4236	-9.50009	-9.16167	-12.9031	-8.27573	-8.85945	-11.4414	-7.34748	-9.65184	-10.9458	-8.48668	-9.60604	-6.80494	-9.50162	-8.17718	-7.6244	-4.0998	-8.88682	-8.6145	-8.53625	-8.53025
L__ADJ_ADJ_NOUN	3	2	sing	выставки	wrong	generated	Российскую неудачу проникают и верхняя административно - длительная	0	True	3175	4	8	Российскую неудачу проникают и верхняя административно - длительная кость , и ближайшее разнообразие , которым собраны информационные грузовики и журналы Словении . <eos>	-18.6536	-17.6618	-17.5447	-9.8142	-15.4122	-15.5057	-9.73364	-17.0265	-16.4777	-17.192	-14.6391	-16.0888	-18.3168	-17.647	-14.9563	-13.1167	-15.5442	-13.7945	-14.4937	-10.056	-14.7094	-12.1424	-13.5417	-14.5298
L__DET_ADJ_NOUN	18	3	plur	стен	correct	generated	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских	0	True	2168	4	18	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских сборных . <eos>	-11.943	-12.241	-12.8953	-9.90408	-11.49	-11.1602	-8.74965	-10.6421	-11.3518	-10.7227	-10.4512	-11.1565	-11.3695	-10.2115	-9.7636	-10.5553	-9.61486	-9.33887	-10.7835	-11.8918	-10.2605	-10.6217	-10.0858	-10.796
L__DET_ADJ_NOUN	18	3	plur	стены	wrong	generated	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских	0	True	3619	4	18	Трасса подлежит , что крысы вспоминают к прессе о уме , выполняя на кадре своих видимых и исламских сборных . <eos>	-13.6656	-14.7502	-12.496	-9.39975	-13.6066	-12.6707	-8.04713	-13.2885	-13.0076	-12.9389	-14.3213	-11.8217	-15.0673	-12.3289	-11.4038	-11.7255	-11.8206	-12.3699	-13.7458	-15.2004	-11.8784	-14.3058	-14.2593	-12.0665
L__ADJ_NOUN_NOUN	10	5	plur	заимствований	correct	generated	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии )	1	True	194	6	16	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии ) преимуществ , но лежит от воздействия своих замков . <eos>	-13.5771	-13.9626	-16.3561	-13.0076	-14.1681	-13.5472	-11.6835	-12.5353	-16.9143	-14.2877	-13.8343	-15.7538	-14.5437	-14.5437	-13.339	-13.3332	-13.7009	-14.8763	-14.8217	-13.4006	-15.1066	-14.1818	-14.2495	-15.4056
L__ADJ_NOUN_NOUN	10	5	plur	заимствования	wrong	generated	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии )	1	True	250	6	16	Планировалось , что от гриппа луча фокус отсутствует через образ школьных ( от судебной фотографии ) преимуществ , но лежит от воздействия своих замков . <eos>	-15.0728	-12.7971	-14.3791	-13.0735	-15.0612	-13.1288	-14.2226	-12.7214	-16.37	-14.3187	-11.5602	-15.0232	-12.2786	-15.6898	-13.1942	-11.5963	-12.7499	-14.476	-15.9368	-13.4373	-14.0896	-12.1109	-12.3058	-14.762
