pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0
R__NOUN_ADJ_DET_ADJ	55	7	plur	קפדניים	correct	generated	אם שני ה מגינים ה מתאהבים ו ה גאונים ה בין - אפורים ה	0	True	69	6	14	אם שני ה מגינים ה מתאהבים ו ה גאונים ה בין - אפורים ה תקיפים לא יחשבו ל ייעול משביע ציווי , יירש ה אמצע בפני הפרש בין - תיאטרלי מסועף , ש שרשרות הבטחתו ו תוצאותיה יהיו ארומטיות ו ביטחוניות . <eos>	-15.1597	-14.2077	-12.343	-11.9794	-13.8165	-14.6985	-13.9864	-12.3015	-12.6046	-13.5589	-14.8953	-17.0434	-15.9147	-14.607	-14.1	-11.7914	-11.7985	-13.1515	-13.7661	-12.7534	-13.6658	-13.2208	-14.6186	-12.5627	-14.8338	-12.3231	-14.1915	-14.4763	-12.5178	-14.103	-12.7748	-11.8597	-13.4361	-13.4211	-12.0764	-11.241
R__NOUN_ADJ_DET_ADJ	55	7	plur	קפדני	wrong	generated	אם שני ה מגינים ה מתאהבים ו ה גאונים ה בין - אפורים ה	0	True	264	6	14	אם שני ה מגינים ה מתאהבים ו ה גאונים ה בין - אפורים ה תקיפים לא יחשבו ל ייעול משביע ציווי , יירש ה אמצע בפני הפרש בין - תיאטרלי מסועף , ש שרשרות הבטחתו ו תוצאותיה יהיו ארומטיות ו ביטחוניות . <eos>	-14.9564	-15.6432	-13.7294	-13.6524	-12.7588	-16.4379	-15.5426	-14.5965	-14.8441	-13.3866	-15.1646	-14.7339	-14.4808	-15.3462	-12.9675	-14.5497	-12.5371	-15.1675	-15.1949	-14.4251	-18.0139	-13.0294	-13.5492	-16.9536	-14.9128	-15.0574	-15.693	-12.8282	-12.6995	-17.2267	-14.8628	-13.3223	-14.8678	-14.9788	-14.1256	-13.5606
R__NOUN_ADJ_DET_ADJ	22	0	sing	יהודית	correct	original	בין ה יזמים ה פרטיים ב תחילת ה מאה ו ב מאה ש עברה הוזכרו ה טמפלרים , ש למרות מספרם ה מועט ( 2,000 ב תקופת ה שיא שלהם ) השפיעו השפעה מכרעת על ה כלכלה ה חופשית ה	0	True	17766	4	40	בין ה יזמים ה פרטיים ב תחילת ה מאה ו ב מאה ש עברה הוזכרו ה טמפלרים , ש למרות מספרם ה מועט ( 2,000 ב תקופת ה שיא שלהם ) השפיעו השפעה מכרעת על ה כלכלה ה חופשית ה יהודית , ו בעיקר ב תחום ה בנייה ב מושבות . <eos>	-5.90973	-5.74543	-5.19439	-7.36294	-5.88335	-5.84052	-5.11507	-4.68671	-4.63645	-4.67961	-4.71918	-4.25784	-5.88564	-5.83126	-5.86514	-7.06126	-4.99662	-5.6946	-6.27152	-5.05661	-5.02094	-4.31024	-6.06354	-6.98181	-6.22961	-6.45291	-5.74256	-8.55191	-6.57371	-5.16968	-5.52865	-6.86761	-5.96019	-6.90802	-5.5009	-4.12014
R__NOUN_ADJ_DET_ADJ	22	0	sing	יהודיות	wrong	original	בין ה יזמים ה פרטיים ב תחילת ה מאה ו ב מאה ש עברה הוזכרו ה טמפלרים , ש למרות מספרם ה מועט ( 2,000 ב תקופת ה שיא שלהם ) השפיעו השפעה מכרעת על ה כלכלה ה חופשית ה	0	True	3035	4	40	בין ה יזמים ה פרטיים ב תחילת ה מאה ו ב מאה ש עברה הוזכרו ה טמפלרים , ש למרות מספרם ה מועט ( 2,000 ב תקופת ה שיא שלהם ) השפיעו השפעה מכרעת על ה כלכלה ה חופשית ה יהודית , ו בעיקר ב תחום ה בנייה ב מושבות . <eos>	-10.7829	-12.2719	-13.18	-12.9887	-11.2474	-11.333	-13.2592	-11.1059	-12.2827	-11.9455	-12.2186	-11.5085	-12.9394	-11.1326	-12.2677	-12.5905	-12.7652	-13.4913	-13.6739	-10.7485	-9.61426	-12.6679	-11.4788	-12.5777	-12.1734	-12.027	-11.2273	-13.143	-13.7916	-10.6494	-12.4549	-11.1218	-12.2938	-14.856	-11.7813	-11.7328
R__NOUN_PUNCT_NOUN_CCONJ_NOUN	10	4	sing	ייצוג	correct	generated	ה שטיפה נכשלת מיסיון , ברז ו	0	True	2244	4	7	ה שטיפה נכשלת מיסיון , ברז ו קקטוס ל מעשים . <eos>	-13.7415	-11.9585	-15.4969	-13.233	-13.7871	-15.823	-10.5996	-12.7098	-15.6052	-15.9153	-15.2043	-15.2912	-17.1831	-12.5318	-14.8675	-15.9031	-10.8412	-12.6584	-12.71	-14.2224	-11.3558	-14.3383	-12.5917	-14.1822	-15.4471	-13.2126	-13.1215	-20.6537	-13.5236	-12.1956	-12.7638	-16.6561	-13.4847	-13.8105	-11.8628	-16.4076
R__NOUN_PUNCT_NOUN_CCONJ_NOUN	10	4	sing	ייצוגים	wrong	generated	ה שטיפה נכשלת מיסיון , ברז ו	0	True	148	4	7	ה שטיפה נכשלת מיסיון , ברז ו קקטוס ל מעשים . <eos>	-16.598	-15.3792	-14.2909	-13.3187	-14.0523	-18.0205	-13.315	-14.5873	-15.4425	-13.484	-15.8327	-17.5498	-15.7623	-16.1056	-16.8829	-14.5354	-14.6665	-16.0111	-13.3965	-14.9764	-15.5752	-13.7306	-14.8633	-16.4413	-14.9158	-14.8568	-14.572	-16.9092	-13.7837	-18.4482	-15.0204	-18.1211	-15.7254	-15.5086	-14.853	-17.5232
R__NOUN_NOUN_DET_ADJ	73	7	sing	וירטואלית	correct	generated	יש להחזיק ש ה מאגרים ה אלה יועדו ל קולות דלהי קמעונאות לשער ב זקני ה הרכב מאות אלפי אגסים ל ריצת חרדל - תפקוד ל סחרור למגינת ה שלדות מ קטקומבות מרושעת ראשונית ל כפית גרפיקה , ש תתרחש ל שלוחת ה דלק ה דמו - משוגעת ו ל מצודת ה משכורת ה	0	True	301	4	54	יש להחזיק ש ה מאגרים ה אלה יועדו ל קולות דלהי קמעונאות לשער ב זקני ה הרכב מאות אלפי אגסים ל ריצת חרדל - תפקוד ל סחרור למגינת ה שלדות מ קטקומבות מרושעת ראשונית ל כפית גרפיקה , ש תתרחש ל שלוחת ה דלק ה דמו - משוגעת ו ל מצודת ה משכורת ה ניסיונית של ה אהבים סוס קריא ב שושה . <eos>	-16.6704	-15.8855	-12.069	-15.5858	-14.4493	-19.0623	-16.3798	-11.7152	-14.0611	-16.5541	-13.2355	-15.6948	-15.6937	-12.9716	-16.0163	-15.3514	-13.4964	-12.7461	-15.0676	-13.9817	-17.9474	-15.6732	-15.2002	-16.2501	-15.4635	-14.7431	-16.3535	-15.584	-13.8627	-15.8646	-15.0174	-17.9138	-17.6935	-11.5603	-12.8091	-14.9498
R__NOUN_NOUN_DET_ADJ	73	7	sing	וירטואליות	wrong	generated	יש להחזיק ש ה מאגרים ה אלה יועדו ל קולות דלהי קמעונאות לשער ב זקני ה הרכב מאות אלפי אגסים ל ריצת חרדל - תפקוד ל סחרור למגינת ה שלדות מ קטקומבות מרושעת ראשונית ל כפית גרפיקה , ש תתרחש ל שלוחת ה דלק ה דמו - משוגעת ו ל מצודת ה משכורת ה	0	True	99	4	54	יש להחזיק ש ה מאגרים ה אלה יועדו ל קולות דלהי קמעונאות לשער ב זקני ה הרכב מאות אלפי אגסים ל ריצת חרדל - תפקוד ל סחרור למגינת ה שלדות מ קטקומבות מרושעת ראשונית ל כפית גרפיקה , ש תתרחש ל שלוחת ה דלק ה דמו - משוגעת ו ל מצודת ה משכורת ה ניסיונית של ה אהבים סוס קריא ב שושה . <eos>	-20.3272	-19.6843	-19.2209	-20.5747	-19.9138	-24.0098	-21.1281	-18.0302	-20.9265	-20.8301	-21.3435	-22.2115	-23.0275	-20.3115	-22.8084	-18.2978	-20.993	-19.4632	-19.4254	-21.0781	-21.3525	-20.0782	-20.7538	-21.3014	-20.6061	-19.6446	-22.4168	-19.682	-19.38	-23.0363	-19.9648	-23.4317	-20.7814	-21.4108	-19.989	-22.132
L__NOUN_NOUN_ADJ_VERB	2	6	plur	נוטשים	correct	generated	זה דיאדוכים מידיים ש דובדבני ה פקיד ה רגישים	1	False	83	5	9	זה דיאדוכים מידיים ש דובדבני ה פקיד ה רגישים נכשלים ל ביון ה מושלם על ה מכרים ה ספרדיים . <eos>	-13.0464	-14.939	-12.2957	-15.6218	-13.2299	-13.7607	-16.1408	-13.7291	-14.0082	-13.8458	-14.7393	-13.729	-11.7733	-14.5352	-14.3896	-15.2968	-14.3516	-14.2863	-14.3968	-14.2591	-12.7316	-13.3908	-13.2693	-14.8376	-13.1947	-13.932	-14.7641	-15.876	-14.9344	-11.6412	-14.7607	-16.0255	-12.319	-14.4686	-13.4154	-13.6987
L__NOUN_NOUN_ADJ_VERB	2	6	plur	נוטש	wrong	generated	זה דיאדוכים מידיים ש דובדבני ה פקיד ה רגישים	1	False	138	5	9	זה דיאדוכים מידיים ש דובדבני ה פקיד ה רגישים נכשלים ל ביון ה מושלם על ה מכרים ה ספרדיים . <eos>	-11.9661	-12.8607	-14.4691	-15.4959	-13.6332	-14.3719	-12.7105	-15.702	-13.9571	-14.8476	-14.5593	-14.963	-12.9235	-14.1575	-13.692	-14.7082	-14.4982	-13.2182	-14.1569	-14.0723	-12.6173	-12.3978	-15.1734	-15.392	-12.0405	-13.6217	-14.5435	-15.9448	-14.8428	-14.3046	-15.1712	-16.9937	-14.6738	-15.5463	-13.4503	-14.3758
R__NOUN_ADJ_DET_ADJ	50	9	sing	קפוא	correct	generated	בירורים בהירים ב ייעוד ה יבואן קפצו ב דיאלקט ה תנע , כי אין כל חייל לכהן עם ה אמריקאים ל שימפנזה מראש , ב משק ה רעיוני ה	0	True	230	4	29	בירורים בהירים ב ייעוד ה יבואן קפצו ב דיאלקט ה תנע , כי אין כל חייל לכהן עם ה אמריקאים ל שימפנזה מראש , ב משק ה רעיוני ה קומי , ב כל ה המוסקבאית ב מהלכים ה ממדיים של שתי ה אומניות , ה מתחשבים ב מסמך של פסיכיאטריה . <eos>	-9.81144	-12.132	-11.9618	-10.7616	-10.1323	-11.3941	-10.814	-11.8374	-12.0261	-12.2129	-14.6605	-10.6813	-11.6672	-13.2076	-11.8516	-11.789	-10.8032	-11.861	-13.5756	-10.4152	-10.0886	-12.3694	-10.1237	-10.8009	-12.2244	-10.3748	-9.46991	-14.6741	-11.6068	-11.42	-11.4007	-10.541	-10.4785	-11.7798	-11.5125	-10.5833
R__NOUN_ADJ_DET_ADJ	50	9	sing	קפואים	wrong	generated	בירורים בהירים ב ייעוד ה יבואן קפצו ב דיאלקט ה תנע , כי אין כל חייל לכהן עם ה אמריקאים ל שימפנזה מראש , ב משק ה רעיוני ה	0	True	150	4	29	בירורים בהירים ב ייעוד ה יבואן קפצו ב דיאלקט ה תנע , כי אין כל חייל לכהן עם ה אמריקאים ל שימפנזה מראש , ב משק ה רעיוני ה קומי , ב כל ה המוסקבאית ב מהלכים ה ממדיים של שתי ה אומניות , ה מתחשבים ב מסמך של פסיכיאטריה . <eos>	-11.808	-17.8806	-16.419	-14.4802	-17.4487	-16.0614	-15.7016	-17.3966	-17.6193	-16.5855	-15.7421	-16.1747	-16.5304	-18.5339	-14.5075	-17.7271	-15.8314	-17.7979	-16.5458	-14.8835	-13.5138	-16.6825	-14.4002	-17.8686	-16.4687	-14.1651	-12.7434	-18.3484	-16.038	-15.9509	-16.4049	-15.702	-15.0762	-16.132	-16.8516	-13.7015
R__NOUN_PUNCT_NOUN_PUNCT_NOUN	5	3	plur	נגרים	correct	generated	"לאחר מ כן היא דמנטייבה את ה שוני ב אושיות ה "" קבצן "" שותפויות , אהל ,"	0	True	81	4	18	"לאחר מ כן היא דמנטייבה את ה שוני ב אושיות ה "" קבצן "" שותפויות , אהל , שומנים , קמרונות , ביצורי היוודע , תובנות לוחמה , כימיקלים רומאיים ו עוד . <eos>"	-10.4388	-13.8204	-11.9729	-11.779	-13.0834	-10.7461	-10.3465	-10.3976	-11.0539	-12.1894	-12.7993	-10.9113	-14.1229	-10.4754	-9.77764	-11.0354	-9.3554	-11.3811	-8.87218	-11.8623	-12.8713	-10.2709	-11.9366	-11.8974	-10.8553	-9.43361	-10.7021	-10.4293	-9.04865	-11.2179	-7.97276	-9.70314	-11.5056	-12.6747	-9.78986	-9.93509
R__NOUN_PUNCT_NOUN_PUNCT_NOUN	5	3	plur	נגר	wrong	generated	"לאחר מ כן היא דמנטייבה את ה שוני ב אושיות ה "" קבצן "" שותפויות , אהל ,"	0	True	685	4	18	"לאחר מ כן היא דמנטייבה את ה שוני ב אושיות ה "" קבצן "" שותפויות , אהל , שומנים , קמרונות , ביצורי היוודע , תובנות לוחמה , כימיקלים רומאיים ו עוד . <eos>"	-15.498	-8.92335	-12.8965	-10.2877	-10.7345	-10.3699	-11.5949	-11.1226	-10.3317	-8.81911	-13.9911	-12.4747	-11.3351	-12.4378	-9.79511	-8.92311	-11.1656	-11.2032	-10.395	-11.8581	-8.30755	-9.83696	-11.4295	-11.9209	-10.0733	-10.6203	-14.1637	-9.78006	-10.3257	-10.9193	-10.2594	-10.4079	-12.5223	-8.56892	-11.0416	-8.36986
L__NOUN_NOUN_PROPN_VERB	2	9	plur	מאזינים	correct	generated	אדוני ה הספד ב קריפס	1	False	659	5	5	אדוני ה הספד ב קריפס נסגרים , כי שידור ה ניצוח ו ה פולחן של נפגעי גיבון אלו גומר ב סטודנטית תחרותית ו כי חוקרי ה הרגל ו ה חיזוי ש בהם מתרסק יבואן , הנם מ הצלחה אטומה ו הם מזרימים ב מלווי ה איתור ב אזרחים . <eos>	-14.8682	-16.7337	-13.2927	-12.382	-16.6638	-13.5305	-13.4528	-15.5162	-13.9975	-13.7584	-14.8085	-15.4751	-17.2822	-15.5008	-15.3374	-14.7243	-16.7079	-15.5524	-13.4383	-16.1439	-13.1246	-15.3536	-15.2595	-17.6908	-15.8467	-12.367	-14.2815	-14.3734	-12.9996	-12.3781	-13.3015	-15.844	-14.9568	-14.5681	-14.3991	-13.8788
L__NOUN_NOUN_PROPN_VERB	2	9	plur	מאזין	wrong	generated	אדוני ה הספד ב קריפס	1	False	295	5	5	אדוני ה הספד ב קריפס נסגרים , כי שידור ה ניצוח ו ה פולחן של נפגעי גיבון אלו גומר ב סטודנטית תחרותית ו כי חוקרי ה הרגל ו ה חיזוי ש בהם מתרסק יבואן , הנם מ הצלחה אטומה ו הם מזרימים ב מלווי ה איתור ב אזרחים . <eos>	-14.7695	-14.4734	-15.2083	-14.4636	-17.1179	-15.1354	-14.4042	-14.734	-14.5144	-13.9783	-15.0229	-15.5672	-14.9661	-17.1057	-14.4479	-14.5984	-15.6975	-14.5427	-15.2814	-14.4248	-13.335	-16.3447	-14.9481	-15.1933	-16.0549	-11.1303	-14.3174	-13.7291	-14.7848	-16.317	-15.1953	-16.0347	-14.937	-13.9629	-12.2312	-13.5841
